"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6497","Отображение на мобильном устройстве","mobile-chrome","Sat Jun 21 18:10:12 GMT+03:00 2025","failed","Sat Jun 21 18:10:18 GMT+03:00 2025","","guest-login.spec.ts","",""
"","348","Гость может ввести имя","webkit","Sat Jun 21 18:07:24 GMT+03:00 2025","failed","Sat Jun 21 18:07:25 GMT+03:00 2025","","guest-login.spec.ts","",""
"","20","Отображение на мобильном устройстве","firefox","Sat Jun 21 18:07:40 GMT+03:00 2025","failed","Sat Jun 21 18:07:40 GMT+03:00 2025","","guest-login.spec.ts","",""
"","31186","Гость может ввести имя","mobile-chrome","Sat Jun 21 18:08:13 GMT+03:00 2025","broken","Sat Jun 21 18:08:45 GMT+03:00 2025","","guest-login.spec.ts","",""
"","340","При отсутствии доступа к камере/микрофону отображается предупреждение","mobile-safari","Sat Jun 21 18:07:38 GMT+03:00 2025","failed","Sat Jun 21 18:07:39 GMT+03:00 2025","","guest-login.spec.ts","",""
"","6614","При отсутствии доступа к камере/микрофону отображается предупреждение","mobile-chrome","Sat Jun 21 18:09:57 GMT+03:00 2025","failed","Sat Jun 21 18:10:03 GMT+03:00 2025","","guest-login.spec.ts","",""
"","6743","Отображение на мобильном устройстве","edge","Sat Jun 21 18:08:25 GMT+03:00 2025","failed","Sat Jun 21 18:08:31 GMT+03:00 2025","","guest-login.spec.ts","",""
"","396","Кнопка ""Войти"" активна после ввода имени","webkit","Sat Jun 21 18:07:27 GMT+03:00 2025","failed","Sat Jun 21 18:07:28 GMT+03:00 2025","","guest-login.spec.ts","",""
"","6727","Кнопка ""Войти"" активна после ввода имени","chromium","Sat Jun 21 18:07:45 GMT+03:00 2025","failed","Sat Jun 21 18:07:51 GMT+03:00 2025","","guest-login.spec.ts","",""
"","320","basic test","mobile-safari","Sat Jun 21 18:07:28 GMT+03:00 2025","failed","Sat Jun 21 18:07:28 GMT+03:00 2025","","example.spec.ts","",""
"","17","Кнопка ""Войти"" активна после ввода имени","firefox","Sat Jun 21 18:07:31 GMT+03:00 2025","failed","Sat Jun 21 18:07:31 GMT+03:00 2025","","guest-login.spec.ts","",""
"","472","При отсутствии доступа к камере/микрофону отображается предупреждение","webkit","Sat Jun 21 18:07:30 GMT+03:00 2025","failed","Sat Jun 21 18:07:30 GMT+03:00 2025","","guest-login.spec.ts","",""
